formula,target_hardness_Reuss,target_hardness_VRH,target_hardness_Voigt,Bulk_Reuss,Bulk_Voigt,Bulk_VRH,Shear_Reuss,Shear_Voigt,Shear_VRH
FeGeRu2,8.138315343,8.138315343,26.58216776,99,100,99,227,100,227
FeH,9.853426473,9.853426473,24.99427407,91,91,91,177,91,177
FeH3,16.74374954,17.28410338,31.95289929,129,133,131,207,133,207
FeH4(ClO)2,0.507382422,0.228742578,5.557581119,8,12,10,14,12,21
FeHO2,12.65559944,12.84288445,24.26771577,85,87,86,135,87,136
FeN,-0.508025692,0.825315536,21.60786122,47,73,60,267,73,267
FeNi,6.825768419,9.286351984,27.09814791,81,103,92,187,103,187
FeNi3,7.738787173,9.026676944,27.09814791,90,103,96,203,103,203
FeNiN,4.594694861,5.706037397,24.81389839,77,90,84,216,90,219
FeNiO3,-0.596249469,0.493060977,16.25555849,33,48,41,162,48,163
FeNiPt2,7.120754319,7.932537999,26.05972233,89,97,93,210,97,210
FeO2F,6.830026882,9.585267691,20.40365865,46,67,56,80,67,87
FeOF,11.01653654,7.138947908,15.05548015,15,43,29,11,43,39
FeP,16.78925406,17.25707184,32.41198382,130,136,133,209,136,212
FeP2,26.46731298,28.7292663,36.08617149,146,161,154,177,161,180
FeP2O7,6.179761295,7.199908578,16.25555849,42,48,45,74,48,75
FeP4,20.2136642,21.90643953,29.7510304,109,119,114,140,119,141
FePO4,11.17811542,12.76978582,7.848368054,16,18,17,12,18,12
FePd,5.995897303,7.392625629,23.33971669,70,82,76,162,82,162
FePt,7.030795823,8.291151782,26.23460632,86,98,92,201,98,201
FePt3,4.491674667,5.099523258,26.05972233,88,97,92,267,97,267
FeRe,12.75994163,13.06709978,35.37142127,152,156,154,321,156,322
FeRh,4.888713417,5.847896959,23.89924356,74,85,79,197,85,197
FeS,-1.257464862,3.561614283,12.46538196,4,33,19,9,33,30
FeSO4,5.218366426,5.189561237,14.3075299,38,40,39,70,40,73
FeSb,6.32593444,7.785032433,18.72593233,49,59,54,92,59,94
FeSb2,9.653737967,10.79233352,19.78480313,54,64,59,82,64,87
FeSb3,5.140860129,5.83338655,16.01985679,42,47,44,82,47,82
FeSbO4,8.224010611,10.2655777,27.26875089,82,104,93,170,104,178
FeSbS,20.73777107,21.56005318,26.58216776,94,100,97,110,100,112
FeSe,-1.948246268,2.75252965,9.521050863,3,23,13,9,23,19
FeSi2,19.62229675,19.476133,31.17809306,127,128,127,180,128,181
FeSiRu2,10.98615065,10.98615065,29.26546433,116,116,116,237,116,237
FeSiTc2,6.12837035,7.550904399,27.94445888,93,108,101,245,108,245
FeSiW,9.567445194,9.761557914,29.10245399,114,115,115,253,115,253
FeSn,6.70809789,7.031850332,17.85173366,53,55,54,100,55,100
FeSn2,10.02464093,10.88304394,18.29201612,54,57,56,80,57,80
FeSnRh2,3.458195183,3.998848469,21.01111618,64,70,67,188,70,188
FeSnRu2,7.030795823,7.443779599,24.99427407,86,91,88,201,91,201
FeTc2Cl,9.130521748,9.130521748,23.52715529,83,83,83,162,83,162
FeWN2,9.464949577,12.62516929,32.25942699,104,135,119,222,135,224
FeWO4,3.070567506,3.711115023,18.29201612,51,57,54,141,57,141
Ga2Au,-2.375348405,-1.96508344,7.126052752,9,16,12,73,16,73
Ga2CoO4,4.928003442,6.21582397,22.77162742,67,79,73,169,79,169
Ga2CoRu,7.626629196,7.626629196,24.0839242,85,86,85,188,86,188
Ga2CoS4,4.268898254,5.278520131,11.62668571,26,30,28,44,30,44
Ga2Cu,3.363195479,3.909925042,14.05307848,35,39,37,77,39,78
Ga2FeO4,5.540326161,6.183700735,22.387917,71,77,74,173,77,173
Ga2FeS4,-1.257464862,1.998634351,8.538053361,4,20,12,9,20,19
Ga2HgS4,5.143510749,6.321600479,9.199646986,18,22,20,23,22,24
Ga2HgSe4,2.194869844,2.533600061,8.538053361,17,20,18,31,20,32
Ga2IrRh,2.237428418,2.237428418,18.72593233,58,59,58,194,59,194
Ga2NiS4,-1.588720312,1.707474623,8.872120148,3,21,12,7,21,20
Ga2O3,4.933656929,6.236811121,22.19451179,63,76,69,154,76,155
Ga2RuRh,7.051818833,7.051818833,25.17382902,92,92,92,222,92,222
Ga2S3,5.830313917,5.83017206,9.836705333,22,24,23,29,24,31
Ga2Se3,3.750526369,4.113243385,8.872120148,18,21,19,27,21,28
Ga2Te3,2.518869969,3.229247961,7.126052752,14,16,15,22,16,22
Ga2Te5,5.967819466,6.365153423,6.365153423,13,14,14,13,14,14
Ga2TeS2,4.386580445,4.386580445,7.848368054,18,18,18,25,18,25
Ga2WSe,-2.676168131,-1.707973591,7.848368054,5,18,11,53,18,53
Ga3BN4,16.20968404,18.10637318,33.01761044,127,140,134,207,140,207
Ga3Fe,10.20728802,10.94014854,20.60737559,64,68,66,102,68,102
Ga3PO7,4.349323121,4.510323894,19.15378564,59,61,60,149,61,150
Ga3Pd7,2.116587827,2.305131851,16.72093257,48,50,49,149,50,149
Ga4GeO8,6.733803503,7.183370127,22.19451179,68,76,72,145,76,152
Ga4Ni3,6.238594622,6.238594622,19.57585552,62,63,62,132,63,132
GaAg2,-0.82198446,-0.605194222,8.872120148,18,21,19,71,21,71
GaAgS2,0.190808021,0.699524379,9.521050863,20,23,22,60,23,61
GaAgSe2,-0.030570986,0.282753984,8.196978704,17,19,18,50,19,50
GaAgTe2,0.367467809,0.745508098,7.848368054,16,18,17,41,18,41
GaAs,7.104445226,8.031377769,14.80864311,39,42,41,61,42,61
GaAsPd5,4.422701716,4.877734218,19.15378564,58,61,60,144,61,144
GaAuO2,3.964100989,4.898786397,21.21118965,60,71,65,160,71,162
GaB3N4,27.4783263,28.43562263,45.64310311,225,234,229,329,234,329
GaBN2,29.56218366,31.25153819,38.8573724,171,181,176,206,181,206
GaBi,3.469315706,4.783281561,8.872120148,18,21,20,28,21,28
GaBiO3,1.41505837,3.970183411,17.40475476,32,53,43,92,53,97
GaCo,2.69299164,4.560342198,22.387917,57,77,67,176,77,176
GaCo2Ni,2.467253163,4.31440487,22.19451179,54,76,65,168,76,173
GaCu3,2.72426376,2.944445953,16.01985679,46,47,47,127,47,127
GaCuCl4,-0.422144217,-0.721115297,2.704905793,5,6,5,9,6,10
GaCuI4,1.500233939,0.466174121,2.127757142,4,5,4,4,5,5
GaCuO2,2.521282903,4.235561642,20.80985298,49,69,59,144,69,151
GaCuPt2,4.415756656,4.990865987,21.80450426,69,74,72,187,74,187
GaCuS2,2.918345054,3.894760841,13.79590462,33,38,36,75,38,75
GaCuSe2,2.056747383,2.759110053,11.62668571,26,30,28,60,30,60
GaCuTe2,2.294318936,2.704905793,10.45207885,23,26,24,48,26,48
GaFe3,-1.018805344,2.247330558,22.387917,31,77,54,174,77,174
GaFeCo2,4.051379647,6.585442451,25.53052675,68,94,81,191,94,191
GaGeRu2,4.805680046,4.984460021,22.96196966,77,80,78,211,80,211
GaGeTe,1.142718181,3.133443322,7.491621506,5,17,11,6,17,14
GaHO2,9.783246821,10.1130893,25.17382902,89,92,91,172,92,174
GaNi,-0.825853405,0.924131264,17.85173366,30,55,42,153,55,153
GaNi2,1.407521446,2.623591191,19.15378564,47,61,54,164,61,164
GaNiRh2,-0.811554228,1.90213506,22.58028261,36,78,57,200,78,200
GaPO4,4.757535081,5.121608189,9.199646986,19,22,20,26,22,27
GaPPd5,5.074192108,5.552459946,19.99240016,60,65,62,141,65,141
GaPd2,0.744890068,1.047665045,15.05548015,40,43,42,148,43,149
GaS,-1.666701323,1.438228071,8.196978704,2,19,10,4,19,16
GaSe,-1.666701323,1.703399596,7.126052752,2,16,9,4,16,13
GaSiRu2,7.801013216,8.440801962,26.05972233,90,97,93,202,97,202
GaTe,-0.283763331,1.113173754,5.132886594,3,11,7,4,11,10
Ge(Te2As)2,2.246307938,2.913554275,8.196978704,11,19,15,16,19,23
Ge2N2O,6.08842063,7.533567005,20.40365865,57,67,62,118,67,118
Ge2O3,14.41769695,14.41769695,27.09814791,102,103,102,162,103,162
Ge2Sb2Te5,0.866884183,1.600224333,7.126052752,10,16,13,18,16,23
Ge2Te5As2,6.162527151,8.622207816,14.3075299,31,40,36,47,40,48
Ge3(BiO3)4,10.60218127,10.60218127,14.55935471,41,41,41,51,41,51
Ge3As4,4.663688551,5.150495054,11.33946091,28,29,29,47,29,47
Ge3N2,6.822928189,6.822928189,17.40475476,53,53,53,99,53,99
Ge4Ir,6.468053904,6.972438456,18.72593233,55,59,57,108,59,109
GeAs,5.300615843,3.964100989,8.872120148,9,21,15,8,21,20
GeAs2,3.750526369,3.591227615,6.750870355,8,15,12,8,15,15
GeC,14.98305688,15.58276845,28.27841348,106,110,108,167,110,167
GeF2,0.138234844,1.113173754,3.750526369,6,8,7,10,8,10
GeP3,7.820136231,7.2250977,14.05307848,28,39,33,35,39,47
GePbO3,133.52866,142.7577291,23.89924356,79,85,82,19,85,19
GePt,3.178352742,3.601427839,18.07269064,52,56,54,143,56,143
GeS,-2.797169835,1.902014045,10.7523779,2,27,15,20,27,27
GeSb,3.319037491,4.987792948,11.04809528,21,28,24,36,28,36
GeSb4Te7,2.693349495,3.577692707,7.491621506,12,17,15,17,17,21
GeSe2,5.700941718,7.592368533,6.365153423,10,14,12,9,14,10
H2O,-0.626677939,-0.626677939,3.243273335,7,7,7,16,7,16
H2SeO4,1.074460907,1.65278859,3.750526369,6,8,7,8,8,9
H3N,-1,-1,1.500233939,4,4,4,8,4,8
H3PbCI3NF3,-0.721115297,-0.721115297,2.704905793,5,6,5,10,6,10
H4BrN,12.18947394,12.18947394,4.232057388,8,9,8,4,9,4
H4N2O3,0.057704125,0.057704125,4.691835641,10,10,10,22,10,22
H5CNO2,-0.422144217,-1.581936822,2.704905793,5,6,5,9,6,15
H5NF2,-1.083315181,-0.786781264,5.132886594,9,11,10,28,11,29
H6PbCBr3N,-1.189222621,-1.189222621,3.243273335,6,7,6,16,7,16
H6PbCI3N,-1.047195951,-0.44052859,3.243273335,6,7,7,15,7,15
HN,-0.704493922,-0.36706471,4.691835641,9,10,10,24,10,25
Hf(CoSi)2,12.20811901,12.46322503,27.7765196,105,107,106,190,107,190
Hf(CuP)2,6.157374824,6.949162325,20.40365865,62,67,65,133,67,133
Hf(FeSi)2,8.392618332,9.296098322,26.23460632,90,98,94,193,98,193
Hf(MnSn)6,10.36929084,11.40611071,21.80450426,69,74,72,113,74,113
Hf(SiNi)2,6.402613234,6.559060925,22.58028261,75,78,76,173,78,174
Hf(VGa2)2,14.38935058,15.27848612,25.53052675,88,94,91,130,94,131
Hf2Ag,4.757012086,5.592237276,18.07269064,50,56,53,111,56,111
Hf2Al,5.695193784,6.268259909,18.29201612,54,57,56,113,57,113
Hf2Al3,8.915554585,9.566449732,20.80985298,65,69,67,114,69,114
Hf2Al3C4,26.37812418,26.20372036,35.51512328,156,157,156,196,157,197
Hf2Al4C5,19.88656346,19.74716029,32.10640047,133,134,133,191,134,192
Hf2Au,4.592544902,5.320753608,19.3655269,56,62,59,134,62,134
Hf2CS,18.50120386,18.81146038,30.54916237,122,124,123,177,124,177
Hf2CoIr,-1.005287786,-0.204216308,15.78206448,33,46,40,190,46,190
Hf2CoP,8.872873293,9.547243162,24.63268902,83,89,86,165,89,166
Hf2CoRe,8.069336767,8.293599999,24.63268902,87,89,88,188,89,188
Hf2CoTc,7.74800067,8.224010611,23.52715529,80,83,82,170,83,170
Hf2Cu,5.392879787,5.926005374,18.94059885,56,60,58,123,60,123
Hf2CuIr,0.691380927,0.997971428,16.01985679,43,47,45,167,47,167
Hf2CuOs,1.845806213,2.69299164,19.3655269,52,62,57,176,62,176
Hf2CuSb3,4.345681607,5.247159496,16.48923097,44,49,47,96,49,96
Hf2FeIr,3.636334266,3.636334266,19.99240016,65,65,65,188,65,188
Hf2FeOs,8.851626787,9.076185492,25.8840885,93,96,94,196,96,196
Hf2Ga,7.136637394,7.727109532,19.99240016,61,65,63,119,65,119
Hf2Ga3,7.941961988,8.248597882,19.99240016,63,65,64,117,65,117
Hf2GaSb3,12.2696096,12.69752284,19.99240016,63,65,64,88,65,88
Hf2Ge,15.30506236,15.65568287,25.53052675,92,94,93,133,94,133
Hf2In5,7.875411268,7.698895276,15.78206448,45,46,45,71,46,72
Hf2InC,15.61048444,15.80026238,25.35257582,91,93,92,129,93,130
Hf2IrPd,-1.486152949,-0.847066788,14.05307848,27,39,33,178,39,178
Hf2MnIr,7.120934327,7.542574545,24.63268902,85,89,87,196,89,196
Hf2MnRh,7.26225843,7.49730346,22.77162742,77,79,78,167,79,167
Hf2MoIr,6.378726757,6.585442451,23.15132703,80,81,81,191,81,191
Hf2MoRh,6.3394197,7.004914991,23.15132703,75,81,78,174,81,174
Hf2N2O,5.549693984,7.762353757,25.53052675,68,94,81,162,94,173
Hf2Ni,-1.907056837,-1.708709619,9.521050863,18,23,20,128,23,130
Hf2NiP,11.12378733,11.56435002,25.8840885,92,96,94,166,96,167
Hf2OsPd,-0.24222516,0.85636904,17.40475476,38,53,46,178,53,178
Hf2OsRh,-0.730328945,0.325897709,17.85173366,37,55,46,202,55,202
Hf2P,7.679076095,8.461195381,22.77162742,73,79,76,149,79,149
Hf2ReIr,10.08899575,10.08899575,27.6079277,105,106,105,216,106,216
Hf2ReOs,8.886004714,8.886004714,26.58216776,100,100,100,218,100,218
Hf2ReRh,12.90196743,13.20655835,25.35257582,92,93,93,150,93,150
Hf2ReTc,8.637597531,8.930940379,21.41009705,70,72,71,130,72,130
Hf2SbP,7.609303407,9.299109958,22.00004755,64,75,70,123,75,124
Hf2SeN2,8.623001327,9.137763499,23.71365901,80,84,82,159,84,159
Hf2Si,16.44390096,16.78990156,26.75486604,99,101,100,141,101,141
Hf2SnC,12.3885304,12.57457651,24.26771577,85,87,86,137,87,138
Hf2TcOs,6.388345324,6.779465733,24.63268902,85,89,87,209,89,209
Hf2TcRh,7.713541703,8.378047545,24.99427407,86,91,89,190,91,190
Hf2TcRu,7.88601833,8.545682625,25.53052675,88,94,91,194,94,194
Hf2ZnRe,2.788428384,3.561841633,19.57585552,54,63,58,160,63,160
Hf3(Cu2Ge)2,7.937180087,8.475946104,22.387917,72,77,74,143,77,143
Hf3(Cu2Si)2,8.551852716,9.639989577,23.71365901,76,84,80,148,84,148
Hf3(CuSi)4,9.158050663,9.969495229,24.0839242,80,86,83,153,86,153
Hf3(NiGe)4,10.46640428,10.36798361,24.4506327,87,88,87,159,88,160
Hf3Al2,7.550362526,8.477819131,20.40365865,61,67,64,115,67,115
Hf3Ge2,12.50184341,13.1714954,24.0839242,82,86,84,129,86,129
Hf3N4,-0.806741003,3.173039027,26.40875129,37,99,68,208,99,214
Hf3Sb,3.998898434,4.256804781,16.72093257,48,50,49,114,50,114
Hf3SnO8,5.824571323,6.339793748,23.15132703,74,81,77,179,81,181
Hf3Te2,6.704225793,5.121608189,11.62668571,9,30,20,7,30,27
Hf3Tl,7.482704368,8.160847902,18.72593233,55,59,57,99,59,99
Hf3Zn3N,12.14605166,12.14605166,23.52715529,83,83,83,134,83,134
Hf3ZnN,11.82412783,12.30026055,24.99427407,88,91,90,149,91,150
Hf4Al3,14.62459753,14.81910132,24.26771577,85,87,86,122,87,123
Hf4N3,7.858275164,8.859592067,27.7765196,97,107,102,225,107,225
Hf5Al3,4.032865223,4.220719626,16.25555849,47,48,48,110,48,111
Hf5CuSn3,7.237216961,7.533567005,19.57585552,61,63,62,118,63,118
Hf5N5O2,12.78997798,13.75099616,32.41198382,125,136,130,239,136,241
Hf5Te4,2.827335963,3.788736959,13.79590462,33,38,36,76,38,76
Hf6CoBi2,6.960038974,7.263374817,19.15378564,58,61,59,112,61,112
Hf6NiSb2,9.071007454,9.37527504,21.41009705,70,72,71,126,72,126
HfAg,2.827898571,4.293649597,18.07269064,44,56,50,117,56,117
HfAl,10.49618241,11.51290009,22.58028261,71,78,74,117,78,117
HfAl2,15.71734417,16.09655497,24.4506327,87,88,88,120,88,120
HfAl3,15.27080483,15.67863177,22.96196966,79,80,80,106,80,106
HfAl5Ni2,11.71089855,11.71089855,23.15132703,80,81,80,130,81,130
HfAlAu2,-2.646244925,-1.908772633,11.04809528,10,28,19,139,28,139
HfAlCo2,9.53224286,9.783246821,24.63268902,88,89,89,172,89,172
HfAlCu2,2.792896287,3.666582373,18.07269064,48,56,52,134,56,134
HfAlFe2,10.85546725,10.85546725,24.99427407,91,91,91,166,91,166
HfAlNi2,1.573419773,1.741948291,16.48923097,48,49,49,164,49,164
HfAlPd2,-1.635287317,-1.429461004,11.04809528,24,28,26,163,28,163
HfAlPt,6.613955731,7.318067222,22.77162742,73,79,76,163,79,163
HfAlRu2,6.154032027,6.154032027,22.96196966,80,80,80,195,80,195
HfAs,5.859820488,7.786467742,21.60786122,59,73,66,127,73,127
HfAs2,11.80864051,12.16163509,22.19451179,74,76,75,115,76,115
HfB,5.014116159,7.849726475,25.8840885,69,96,82,175,96,175
HfB2,43.72276132,44.53436633,47.08723219,239,246,242,250,246,251
HfBRh3,8.627642522,9.019128584,28.11175405,105,109,107,239,109,239
HfBe,7.996537787,9.293202947,20.60737559,61,68,65,111,68,111
HfBe2,18.77379339,20.34122583,27.7765196,99,107,103,128,107,128
HfBe5,24.98635578,26.70199814,30.54916237,116,124,120,131,124,131
HfBeRh2,2.890137953,2.890137953,20.40365865,66,67,66,213,67,213
HfBeSi,21.45639753,22.00211287,29.7510304,116,119,118,147,119,148
HfBiO4,5.339500016,5.959741482,19.78480313,57,64,60,127,64,129
HfBrN,-2.609715573,1.525707003,12.18947394,3,32,18,21,32,38
HfC,27.09400727,27.38968501,38.72193202,179,180,180,236,180,236
HfCdO3,4.164441254,6.755372854,21.21118965,52,71,62,126,71,126
HfCdRh2,2.663977859,3.420762815,19.3655269,54,62,58,163,62,163
HfCo,3.501461708,3.501461708,18.07269064,56,56,56,153,56,153
HfCo2,7.365156977,7.365156977,21.80450426,74,74,74,156,74,156
HfCo2Sn,7.244494837,7.722318935,22.96196966,76,80,78,164,80,164
HfCo3B2,19.18287004,19.32697766,35.94396673,158,160,159,254,160,255
HfCoAs,9.52171188,9.764202927,25.35257582,91,93,92,181,93,181
HfCoSn,7.760928347,8.211887339,21.80450426,70,74,72,139,74,140
HfCr2,4.051379647,4.051379647,20.60737559,68,68,68,191,68,191
HfCrO3,6.296098673,8.146503337,22.58028261,60,78,69,125,78,132
HfCu2Te3,3.750201819,3.553180919,9.836705333,23,24,23,39,24,40
HfCu3,-2.409670945,-1.393221811,12.18947394,13,32,23,133,32,133
HfCuSi,10.04523947,10.31901547,24.26771577,84,87,85,155,87,155
HfCuSi2,12.01486869,13.30781496,24.99427407,83,91,87,135,91,135
HfFe2,8.622207816,8.87519472,23.52715529,81,83,82,162,83,162
HfFe2Sn,13.85623119,13.85623119,27.7765196,107,107,107,179,107,179
HfFeGe,8.037455408,8.340237616,25.35257582,89,93,91,195,93,197
HfFeP,14.56342984,15.06770256,31.02163433,123,127,125,213,127,213
HfGa3,11.31294734,12.84623881,21.80450426,67,74,71,102,74,102
HfGa4Co,9.556401051,11.53338139,19.15378564,52,61,57,78,61,79
HfGa5Co,5.911123542,6.2538874,16.01985679,46,47,47,87,47,87
HfGa5Ni,1.720016656,1.973900189,13.00699472,33,35,34,91,35,91
HfGaAu,6.30782462,6.321160687,19.3655269,61,62,62,128,62,131
HfGaCo2,6.3394197,6.780895026,22.77162742,75,79,77,174,79,174
HfGaCu,6.35217848,6.871122442,20.40365865,64,67,66,137,67,137
HfGaNi2,-0.12413956,0.154221344,14.3075299,37,40,39,165,40,165
HfGaRu2,5.12499139,5.316072112,22.19451179,75,76,76,196,76,196
HfGe2,10.50905791,11.05680495,21.41009705,69,72,71,112,72,113
HfGeO4,5.96581082,6.412860506,25.53052675,88,94,91,229,94,231
HfGePt,6.872023989,7.028519406,22.96196966,78,80,79,176,80,177
HfGeS,12.45150726,12.7878486,23.52715529,81,83,82,127,83,127
HfGeSe,11.91339527,12.27378163,22.00004755,73,75,74,112,75,112
HfGeTe,9.443388422,10.57502983,19.78480313,59,64,62,95,64,95
HfGeTe4,3.750526369,3.688988294,6.365153423,8,14,11,8,14,13
HfH2,-1.241663407,-0.20650717,14.55935471,26,41,34,148,41,149
HfH3,14.42360263,16.53724953,26.58216776,89,100,95,132,100,132
HfHgO3,1.829521215,2.462769029,19.57585552,55,63,59,192,63,192
HfInAu2,-2.290366115,-1.03680085,13.27297505,14,36,25,127,36,127
HfInCo2,7.302488376,7.544778716,22.58028261,75,78,76,160,78,160
HfInCu2,2.279322039,3.639496338,17.85173366,43,55,49,123,55,123
HfInPd2,-2.055433194,-0.684860125,14.80864311,18,42,30,145,42,145
HfMg3,4.867438657,5.254989064,13.79590462,36,38,37,67,38,67
HfMg6Al,1.109613183,1.459209622,9.836705333,21,24,22,52,24,52
HfMg6Nb,-0.399314352,1.57182894,11.62668571,17,30,24,56,30,58
HfMg6Sb,-0.226264242,7.80E-05,8.196978704,17,19,18,53,19,54
HfMg6Ti,1.612768389,2.22625221,10.7523779,23,27,25,54,27,55
HfMg6V,-0.725955761,1.426300509,10.14694665,13,25,19,42,25,42
HfMgAu2,-0.993528912,0.780876734,15.05548015,23,43,33,110,43,110
HfMgIr2,10.90083333,11.15072985,26.40875129,98,99,99,185,99,185
HfMgN2,4.655777867,7.533190035,24.4506327,62,88,75,155,88,157
HfMgO3,6.06130567,8.454249739,24.81389839,70,90,80,161,90,161
HfMgPd2,0.543390855,1.093547689,14.3075299,35,40,38,127,40,127
HfMgRh2,6.639014145,6.639014145,21.21118965,71,71,71,156,71,156
HfMn2,1.085638296,1.525553561,18.07269064,50,56,53,192,56,192
HfMnRh2,4.121380892,4.708225582,21.41009705,65,72,68,177,72,177
HfMnSi,7.633804002,9.910474689,25.8840885,77,96,86,162,96,162
HfNbB4,32.77188153,33.78741313,44.29207183,215,223,219,268,223,269
HfNbTc2,6.792612476,7.379268428,25.70769376,89,95,92,216,95,216
HfNi3,7.207920315,7.654378353,23.71365901,81,84,83,181,84,181
HfNi5,9.037402041,9.287041728,24.0839242,85,86,86,169,86,169
HfNiSn,15.88693314,15.88693314,23.15132703,80,81,80,105,81,105
HfOs2,4.413807389,4.708670467,25.35257582,89,93,91,274,93,274
HfPbO3,9.459382144,9.972354672,24.81389839,86,90,88,167,90,167
HfSO,4.631805678,4.631805678,18.29201612,57,57,57,137,57,137
HfSb2,7.004643148,7.373309874,16.48923097,48,49,49,84,49,84
HfSbRu,2.00957006,2.19812939,16.25555849,47,48,48,147,48,147
HfScCo2,7.218313302,7.218313302,20.19867592,65,66,65,130,66,130
HfScOs2,8.507425799,8.507425799,25.35257582,93,93,93,201,93,201
HfScRu2,6.742370029,7.185011416,23.33971669,78,82,80,178,82,178
HfSi,12.53776893,13.74275937,26.40875129,92,99,96,153,99,153
HfSiMo,10.88689266,12.04745992,28.11175405,99,109,104,188,109,189
HfSiNi,-1.846692529,-1.411789027,8.872120148,15,21,18,93,21,93
HfSiPd,10.56813621,10.83089194,25.53052675,91,94,92,169,94,169
HfSiPt,10.79010453,11.03303373,26.92685615,100,102,101,192,102,192
HfSiRh,9.994940536,10.23343767,26.40875129,96,99,97,190,99,190
HfSiRu2,9.33483444,9.754152566,27.94445888,104,108,106,224,108,224
HfSiS,14.64644107,14.98817581,25.53052675,91,94,92,135,94,135
HfSiSe,6.129437733,10.29776381,22.387917,36,77,56,59,77,83
HfSiTe,11.01653654,8.69984801,14.05307848,15,39,27,11,39,31
HfSn,-2.656528488,-1.840693251,10.14694665,8,25,16,102,25,102
HfSnO3,1.142718181,3.381885904,11.04809528,5,28,17,6,28,26
HfSnPd,5.740763416,6.011666735,18.72593233,57,59,58,122,59,122
HfSnRh,5.277074194,5.612209152,19.99240016,62,65,64,145,65,147
HfSnRu2,12.11653999,12.11653999,28.11175405,109,109,109,202,109,202
HfTa2N3,6.584471526,8.619955107,30.07192217,93,121,107,235,121,246
HfTaRe2,8.853414453,9.033331638,29.58974557,116,118,117,273,118,273
HfTaTc2,7.552752603,8.138315343,26.92685615,96,102,99,227,102,227
HfTc2Sb,7.886301129,8.09712139,25.17382902,91,92,92,204,92,204
HfTc2Sn,-1.948886652,-0.601829145,15.29994614,20,44,32,155,44,155
HfTc2W,10.31400172,11.13737624,30.39062021,115,123,119,244,123,244
HfTe2,1.650755209,3.591227615,6.750870355,8,15,12,11,15,15
HfTiO4,4.960866271,5.301653342,22.19451179,69,76,72,176,76,181
HfVF6,-0.322662138,2.918345054,15.78206448,21,46,33,75,46,75
HfVGe,5.920723845,9.28466116,25.17382902,65,92,78,146,92,146
HfVSi,-0.410207539,5.974996265,26.58216776,33,100,67,152,100,152
HfZn,1.651032825,3.880602635,17.85173366,36,55,45,105,55,105
HfZnCu2,0.357090071,1.817932546,16.95071886,35,51,43,133,51,133
HfZnIr2,5.806592717,6.564937751,25.17382902,83,92,87,213,92,213
HfZnN2,6.797517997,8.053093794,25.17382902,80,92,86,184,92,185
HfZnNi2,1.674842266,2.223012771,17.17864276,46,52,49,151,52,151
HfZnO3,2.642863064,4.221862586,21.01111618,53,70,61,159,70,159
HfZnPt2,-2.50745308,-1.337524513,16.01985679,16,47,32,212,47,212
HfZr,3.1151858,3.379350923,14.80864311,41,42,42,101,42,101
HfZrO4,6.22643485,8.957729194,28.27841348,82,110,96,201,110,204
HfZrTc2,6.291943808,6.799522459,20.80985298,65,69,67,141,69,141
HfZrZn2,3.701038376,5.592237276,18.94059885,46,60,53,111,60,111
Hg,-1,-1,1.500233939,4,4,4,8,4,8
Hg(SbO3)2,-0.296493338,0.247641476,13.53590636,30,37,34,127,37,131
Hg2AsF6,-2.041441754,-1.685071999,2.704905793,4,6,5,15,6,16
Hg2Pt2O7,4.146741904,4.514262218,21.41009705,69,72,71,193,72,193
HgF,0.047806739,0.188045897,8.196978704,12,19,15,29,19,39
HgF2,-2.591766917,-1.769659192,8.872120148,8,21,15,88,21,88
HgGeO3,2.669329518,4.166507622,21.21118965,56,71,64,172,71,172
HgH2NCl,-1.418517866,-0.900506443,5.557581119,9,12,11,33,12,35
HgIrO3,-1.752470272,-0.701070391,15.29994614,24,44,34,176,44,176
HgO,-0.689277315,-0.238259665,5.132886594,8,11,10,20,11,24
HgOs,2.110793289,2.429667366,19.15378564,57,61,59,193,61,193
HgOsO3,2.327897677,3.241196455,19.3655269,53,62,58,167,62,167
HgPd3,-1.421037416,-0.333882662,13.79590462,23,38,31,135,38,135
HgPtO2,-1.52317205,0.273850892,9.836705333,7,24,16,24,24,42
HgRhF6,34.19137972,46.86188709,6.365153423,11,14,13,3,14,3
HgRhO3,-0.05990234,0.337979086,15.78206448,40,46,43,182,46,182
HgRuO3,0.659842648,2.414264727,16.25555849,32,48,40,108,48,108
IClO3,-1.604160208,-1.495909557,10.14694665,23,25,24,150,25,150
In,-2.618948241,-2.436283115,2.127757142,4,5,5,33,5,33
In10Sb9Te,-1.26763824,-0.129840239,8.538053361,12,20,16,47,20,47
In2AgSe4,-0.316330534,-0.316330534,4.691835641,9,10,9,21,10,21
In2Au,-0.163753711,0.13551823,7.848368054,17,18,18,52,18,52
In2Bi,-2.549896735,-2.002309561,4.691835641,5,10,8,40,10,41
In2Co,-0.394940654,0.406332938,11.62668571,23,30,27,88,30,89
In2GeB,-2.754592245,-2.611081264,7.126052752,10,16,13,190,16,190
In2HgSe4,-2.473785584,-1.335690936,6.750870355,5,15,10,35,15,37
In2HgTe4,1.040815889,1.707474623,5.967819466,11,13,12,20,13,20
In2Ni3S2,2.562765436,3.207874654,13.00699472,31,35,33,72,35,72
In2S3,-0.266424008,0.695839917,9.199646986,16,22,19,49,22,49
In2Se3,1.290742431,1.290742431,5.132886594,11,11,11,19,11,19
In2Si2O7,4.292030945,4.612492157,19.78480313,59,64,61,150,64,152
